Nombre_Restaurante,Rating,Cantidad_Reseñas,Precio,Tipo_Cocina,Resena
$1.50 Fresh Pizza,4.3,341,Bajo,"pizza, fast food",If you are in New York make sure to stop... | Nice cheep pizza
Bubby's,4.3,1746,Medio,"american, bar, barbecue, grill",Great for pancakes | Nice pancakes.
Buddakan,4.4,5510,Muy Alto,"asian, contemporary, cantonese, szechuan, shanghai, hong kong",Good for your instagram | Food was excellent
Buddha Bodai Kosher Vegetarian Restaurant,4.3,203,Bajo,chinese,Great Vegan Chinese Food | Dumplings were good. Vegan beef and...
BuenaVista Restaurant & Bar,4.4,88,Medio,"latin, international, spanish, south american","The ceviche comes with plantain chips that are an additional charge. | ... steak, chicken, pasta, soups, salads."
Buenos Aires,4.5,511,Medio,"steakhouse, argentinean",This is a place you will take visitors... | Argentina in the Big Apple
Burger & Lobster Bryant Park,4.4,608,Medio,"american, seafood",The lobster dinner was $38 and my lobster roll was $30. | ... with fries - truffle/parmesan and c...
Bus Stop,4.4,263,Bajo,"american, cafe",Near the north Western edge of Greenwich Village this place offers a... | Bud stop
Bustan NYC,4.3,169,Medio,"mediterranean, greek, israeli","Hummus, lamb, chicken, fish, chocolate mousse, different drinks between the 4... | Small Restaurant in Upper West Side"
Butter Midtown,3.9,1091,Muy Alto,"french, american, contemporary",The most tender chicken and short ribs!! | This is my 2nd time visiting Butter and...
Buvette,4.4,1002,Medio,"european, french, dining bars, cafe",Charming West Village spot | Very nice French Bistro
COTE Korean Steakhouse,4.3,246,Muy Alto,"steakhouse, international, barbecue, asian, korean","The 4 cuts were Rib eye, hanger steak, skirt steak and Galbi ( too fatty ). | ... ribeye and Wagyu, and they were coo..."
Cafe 28,4.2,218,Bajo,"american, cafe",Prices are also reasonable for NYC. The same breakfast cost us twice as much at... | Fresh inexpensive food
Cafe China,4.2,600,Medio,"asian, szechuan, shanghai",The second time we had dumplings in chili oil and Dan Dan noodles. The... | Small and intimate with good service
Cafe Cluny,4.2,397,Medio,french,"Paris in New York | What a find, our first visit to this area..."
Cafe D’alsace,4.1,398,Medio,french,"We ordered several different omelettes, eggs Benedict. | My main of mussels with fries was copio..."
Cafe Fiorello,4.1,1442,Medio,italian,This is an attractive choice whether or not you are attending an event at... | Good food near Central Park.
Cafe Gitane,4.1,356,Medio,"american, cafe","Once st our table we ordered the egg on a French baguette, the veggie burger... | Wouldn't go back"
Cafe Habana,4.3,766,Bajo,"mexican, caribbean, latin, cuban, central american",Corn | Delicious!
Cafe Katja,4.4,123,Medio,"german, austrian, european, central european",We ate here several years ago and were very impressed with the food and the... | A Visit to Austria
