station_complex_id,station_complex,hour,Pasajeros mensual,estacion_latitude,estacion_longitude
167,"W 4 St-Wash Sq (A,C,E,B,D,F,M)",14,18046.0,40.732338,-74.000496
167,"W 4 St-Wash Sq (A,C,E,B,D,F,M)",15,22371.0,40.732338,-74.000496
167,"W 4 St-Wash Sq (A,C,E,B,D,F,M)",16,23735.0,40.732338,-74.000496
167,"W 4 St-Wash Sq (A,C,E,B,D,F,M)",17,23738.0,40.732338,-74.000496
167,"W 4 St-Wash Sq (A,C,E,B,D,F,M)",18,18381.0,40.732338,-74.000496
167,"W 4 St-Wash Sq (A,C,E,B,D,F,M)",19,13474.0,40.732338,-74.000496
167,"W 4 St-Wash Sq (A,C,E,B,D,F,M)",20,11520.0,40.732338,-74.000496
167,"W 4 St-Wash Sq (A,C,E,B,D,F,M)",21,11828.0,40.732338,-74.000496
168,"Spring St (C,E)",10,5563.0,40.726227,-74.00374
168,"Spring St (C,E)",11,6579.0,40.726227,-74.00374
168,"Spring St (C,E)",12,10000.0,40.726227,-74.00374
168,"Spring St (C,E)",13,12495.0,40.726227,-74.00374
168,"Spring St (C,E)",14,16794.0,40.726227,-74.00374
168,"Spring St (C,E)",15,25036.0,40.726227,-74.00374
168,"Spring St (C,E)",16,27135.0,40.726227,-74.00374
168,"Spring St (C,E)",17,16385.0,40.726227,-74.00374
168,"Spring St (C,E)",18,17302.0,40.726227,-74.00374
168,"Spring St (C,E)",19,20915.0,40.726227,-74.00374
168,"Spring St (C,E)",20,13287.0,40.726227,-74.00374
168,"Spring St (C,E)",21,10286.0,40.726227,-74.00374
169,"Canal St (A,C,E)",10,7180.0,40.720825,-74.005226
169,"Canal St (A,C,E)",11,8227.0,40.720825,-74.005226
169,"Canal St (A,C,E)",12,9452.0,40.720825,-74.005226
169,"Canal St (A,C,E)",13,12497.0,40.720825,-74.005226
169,"Canal St (A,C,E)",14,15194.0,40.720825,-74.005226
169,"Canal St (A,C,E)",15,24772.0,40.720825,-74.005226
169,"Canal St (A,C,E)",16,22986.0,40.720825,-74.005226
169,"Canal St (A,C,E)",17,20456.0,40.720825,-74.005226
169,"Canal St (A,C,E)",18,19503.0,40.720825,-74.005226
169,"Canal St (A,C,E)",19,25323.0,40.720825,-74.005226
169,"Canal St (A,C,E)",20,15799.0,40.720825,-74.005226
169,"Canal St (A,C,E)",21,12019.0,40.720825,-74.005226
17,"Prince St (R,W)",10,3432.0,40.72433,-73.9977
17,"Prince St (R,W)",11,6233.0,40.72433,-73.9977
17,"Prince St (R,W)",12,9568.0,40.72433,-73.9977
17,"Prince St (R,W)",13,12636.0,40.72433,-73.9977
17,"Prince St (R,W)",14,15945.0,40.72433,-73.9977
17,"Prince St (R,W)",15,18134.0,40.72433,-73.9977
17,"Prince St (R,W)",16,22311.0,40.72433,-73.99770000000001
17,"Prince St (R,W)",17,24463.0,40.72433,-73.9977
17,"Prince St (R,W)",18,24522.0,40.72433,-73.9977
17,"Prince St (R,W)",19,19732.0,40.72433,-73.9977
17,"Prince St (R,W)",20,10764.0,40.72433,-73.9977
17,"Prince St (R,W)",21,6667.0,40.72433,-73.9977
20,"City Hall (R,W)",10,1980.0,40.713284,-74.00698
20,"City Hall (R,W)",11,2590.0,40.713284,-74.00698
20,"City Hall (R,W)",12,3200.0,40.713284,-74.00698
20,"City Hall (R,W)",13,3660.0,40.713284,-74.00698
20,"City Hall (R,W)",14,3962.0,40.713284,-74.00698
20,"City Hall (R,W)",15,7338.0,40.713284,-74.00698
20,"City Hall (R,W)",16,10911.0,40.713284,-74.00698
20,"City Hall (R,W)",17,12499.0,40.713284,-74.00698
20,"City Hall (R,W)",18,8554.0,40.713284,-74.00698
20,"City Hall (R,W)",19,4622.0,40.713284,-74.00698
20,"City Hall (R,W)",20,2288.0,40.713284,-74.00698
